"","Peliculas","Votos"
"1","Un amor inquebrantable 2019  ",5.7
"2","La vigilante 2019  ",5.5
"3","Hellboy 2019  ",5.3
"4","After: aquí empieza todo 2019  ",5.5
"5","A quemarropa 2019  ",5.8
"6","Vida salvaje 2018  ",6.9
"7","Battle Angel: la última guerrera 2019  ",7.5
"8","El gran asalto 2018  ",4.4
"9","Escape imposible 3: El rescate 2019  ",4.4
"10","La boda de mi mejor amigo 2019  ",3.9
"11","El manicomio: La cuna del terror 2018  ",4.1
"12","Dog Days 2018  ",6.2
"13","Pequeña… otra vez 2019  ",5.3
"14","No te preocupes, no irá lejos 2018  ",6.9
"15","Shazam! 2019  ",7.3
"16","Cementerio Maldito 2019  ",6
"17","Sorry to Bother You 2018  ",7
"18","Shaft 2019  ",6.3
"19","Suspiria: el maligno 2018  ",6.8
"20","Rios de sangre 2018  ",4.9
"21","El Canto del Lobo 2019  ",7.3
"22","Nuestra pequeña Italia 2018  ",5.7
"23","La Rebelión 2019  ",6.7
"24","Regresa a mí 2018  ",6.7
"25","El Buen Sam 2019  ",5.6
"26","El parque mágico 2019  ",5.7
"27","Misterio a bordo 2019  ",6.2
"28","Dumbo 2019  ",6.6
"29","Nosotros 2019  ",7.1
"30","A dos metros de ti 2019  ",7.2
"31","I Am Mother 2019  ",6.8
"32","Yo, Tonya 2017  ",7.5
"33","Los vigilantes de Malibú 2019  ",4.5
"34","Gonjiam: Hospital maldito 2018  ",6.1
"35","Batman y Las Tortugas Ninja 2019  ",7.2
"36","Quizás para siempre 2019  ",7.1
"37","Obsesión (Serenity) 2019  ",5.3
"38","Capitana Marvel 2019  ",7.1
"39","Campamento en el fin del mundo 2019  ",5.1
"40","La perfección 2018  ",6.4
"41","Pájaros de verano 2018  ",7.8
"42","Slaughterhouse: Escuela sangrienta 2018  ",5.3
"43","Nos vemos ayer 2019  ",4.8
"44","Blood Brother 2018  ",4.8
"45","Alien Warfare 2019  ",2.6
"46","Nuestro último verano 2019  ",5.6
"47","El traficante 2018  ",3.6
"48","Entre vino y vinagre 2019  ",5.5
"49","Dragon Ball Super Broly 2018  ",8
"50","My Hero Academia: Two Heroes 2018  ",7.8
"51","Una entrevista con Dios 2018  ",5.7
"52","Prospect 2018  ",6.1
"53","La Tierra errante 2019  ",6.4
"54","American Animals 2018  ",7
"55","Lo que ellos quieren 2019  ",4.7
"56","Arrastrado por el concreto 2019  ",7.1
"57","Venganza bajo cero 2019  ",6.3
"58","Feliz día de tu muerte 2 2019  ",6.3
"59","Verano del 84 2018  ",6.7
"60","Perfectos desconocidos 2018  ",6.7
"61","Atentado en el Estadio 2018  ",5.7
"62","Cómo entrenar a tu dragón 3 2019  ",7.7
"63","Dumplin’ 2018  ",6.7
"64","Maligno 2019  ",5.9
"65","Destrucción: Una mujer herida 2018  ",6.3
"66","La voz de la igualdad 2018  ",6.8
"67","Miss Bala: Sin piedad 2019  ",5.3
"68","Green Book: Una amistad sin fronteras 2018  ",8.3
"69","Alguien extraordinario 2019  ",6.1
"70","La gran aventura Lego 2 2019  ",6.9
"71","Van Gogh: En la puerta de la eternidad 2018  ",6.9
"72","El Gordo y el Flaco 2018  ",7.3
"73","No mires 2018  ",6.3
"74","La vida de Kayla 2018  ",7.5
"75","El amor menos pensado 2018  ",6.9
"76","La cita perfecta 2019  ",6
"77","Jefa por accidente 2018  ",5.8
"78","Escape Room 2019  ",6.4
"79","Justice League vs. the Fatal Five 2019  ",6.6
"80","El silencio 2019  ",5.3
"81","Nacido para ser rey 2019  ",6.1
"82","Glass 2019  ",6.9
"83","Holmes & Watson 2018  ",3.6
"84","¿Podrás perdonarme? 2018  ",7.2
"85","Bienvenidos a Marwen 2018  ",5.9
"86","Mis huellas a casa 2019  ",6.6
"87","El Día de la Unión 2018  ",4.4
"88","Mi pequeño gran hombre 2018  ",3.6
"89","Loca por el Trabajo 2018  ",3.6
"90","Mi obra maestra 2018  ",7.1
"91","Traffik 2018  ",6
"92","Nación asesina 2018  ",5.9
"93","Bumblebee 2018  ",7
"94","La mula 2018  ",7.1
"95","Inquilinos 2018  ",4.9
"96","Velocidad mortal 2018  ",4
"97","Replicas 2018  ",5.4
"98","Aquaman 2018  ",7.2
"99","Triple frontera 2019  ",6.6
"100","El niño que domó el viento 2019  ",7.6
"101","Una verdad inquietante 2018  ",4.9
"102","El Regreso de Mary Poppins 2018  ",7
"103","Spider-Man: Un nuevo universo 2018  ",8.6
"104","El Ángel 2018  ",7.1
"105","Las Dos Reinas 2018  ",6.3
"106","¿No es romántico? 2019  ",6
"107","Máquinas mortales 2018  ",6.2
"108","Animales fantásticos: Los crímenes de Grindelwald 2018  ",6.7
"109","La favorita 2018  ",7.7
"110","Cazadora de gigantes 2018  ",6.2
"111","Las separadoras de parejas 2018  ",5.9
"112","Cadáver 2018  ",5.2
"113","Familia al Instante 2018  ",7.4
"114","El favorito 2018  ",6.2
"115","De tonta, nada 2018  ",4.5
"116","Creed II: Defendiendo el legado 2018  ",7.3
"117","Velvet Buzzsaw 2019  ",5.7
"118","Wifi Ralph 2018  ",7.2
"119","Robin Hood 2018  ",5.3
"120","Overlord 2018  ",6.8
"121","Indivisible 2018  ",5.6
"122","Colette: Liberación y deseo 2018  ",6.8
"123","Escolta 2019  ",5.6
"124","Bohemian Rhapsody 2018  ",8.1
"125","La chica en la telaraña 2018  ",6.1
"126","Viudas 2018  ",7
"127","Nace una estrella 2018  ",7.8
"128","La buena esposa 2018  ",7.2
"129","El Grinch 2018  ",6.3
"130","Latidos en la oscuridad 2018  ",6.4
"131","Polar 2019  ",6.3
"132","La Princesa Encantada 2018  ",6.3
"133","Reino de los Supermanes 2019  ",6.8
"134","El cascanueces y los cuatro reinos 2018  ",5.6
"135","Misión submarino 2018  ",6.8
"136","IO 2019  ",0
"137","Corazón borrado 2018  ",7.2
"138","El odio que das 2018  ",6.9
"139","La última carcajada 2019  ",5.8
"140","Fanático del tiempo 2018  ",5.8
"141","El primer hombre en la Luna 2018  ",7.5
"142","¡A ganar! 2018  ",6.5
"143","Johnny English 3.0 2018  ",6.4
"144","Godzilla: El devorador de planetas 2018  ",4.9
"145","Un caballero y su revolver 2018  ",7.1
"146","Hell Fest: Juegos diabólicos 2018  ",5.6
"147","Escalofríos 2: Una noche embrujada 2018  ",5.7
"148","El inquebrantable: Camino hacia la redención 2018  ",5.6
"149","Los siete pecados capitales: Prisioneros del cielo 2018  ",6.9
"150","No dormirás 2018  ",5.2
"151","Buscando… 2018  ",7.7
"152","Plan V 2018  ",4.2
"153","El legado 2018  ",5.7
"154","Guerreros del futuro 2018  ",3.1
"155","A-X-L 2018  ",5.1
"156","Ya veremos 2018  ",5.4
"157","Matar o morir 2018  ",6.5
"158","Escuela nocturna 2018  ",5.6
"159","Malos momentos en el Hotel Royale 2018  ",7.3
"160","Pokémon la película: El poder de todos 2018  ",6.5
"161","Bird Box: A ciegas 2018  ",6.4
"162","La tierra de hábitos constantes 2018  ",6.2
"163","La Casa del Reloj en la Pared 2018  ",6.1
"164","Roma 2018  ",8.2
"165","Along with the Gods: los últimos 49 días 2018  ",7
"166","Sonidos del corazón 2018  ",6.9
"167","Un pequeño favor 2018  ",6.9
"168","Mowgli: Relatos del libro de la selva 2018  ",6.6
"169","Predator 2018  ",5.5
"170","Venom 2018  ",6.8
"171","Battle 2018  ",6
"172","The Domestics 2018  ",5.7
"173","Un príncipe de Navidad: La boda real 2018  ",5.1
"174","Pie Pequeño 2018  ",6.7
"175","¿Quien mató a los Puppets? 2018  ",5.3
"176","La mujer más asesinada del mundo 2018  ",5.3
"177","Calibre 2018  ",6.7
"178","La monja 2018  ",5.5
"179","El supremo 2018  ",5.1
"180","Alfa 2018  ",6.7
"181","Las crónicas de Navidad 2018  ",7.2
"182","Milla 22: El escape 2018  ",6.1
"183","Intercambio de princesas 2018  ",6
"184","Amor de vinilo 2018  ",6.6
"185","La balada de Buster Scruggs 2018  ",7.4
"186","Misión: Imposible – Repercusión 2018  ",7.9
"187","El justiciero 2 2018  ",6.8
"188","Locamente millonarios 2018  ",7.1
"189","Punto ciego 2018  ",7.4
"190","Nostalgia 2018  ",5.4
"191","Legítimo rey 2018  ",7
"192","Infiltrado del KKKlan 2018  ",7.6
"193","Sin rastro 2018  ",7.2
"194","Megalodón 2018  ",5.7
"195","Forever My Girl 2018  ",6.7
"196","Los increíbles 2 2018  ",7.8
"197","Down a Dark Hall 2018  ",5.2
"198","Incoming 2018  ",3.3
"199","¡Jóvenes Titanes en acción!: La película 2018  ",6.8
"200","Illand: La brigada del lobo 2018  ",6
